filename,rel_path,media_type,source_folder,label,is_real_fire,is_false_alarm,person_nearby,notes
光误报_告警视频-2026051212004806933922584-1.mp4,强光误报/光误报_告警视频-2026051212004806933922584-1.mp4,video,光误报,强光误报,False,True,,
光误报_告警图片-2026051212004806933923869-1.jpg,强光误报/光误报_告警图片-2026051212004806933923869-1.jpg,image,光误报,强光误报,False,True,,
光误报_告警视频-2026051212004806933923869-1.mp4,强光误报/光误报_告警视频-2026051212004806933923869-1.mp4,video,光误报,强光误报,False,True,,
光误报_告警图片-2026051212004806933922584-1.jpg,强光误报/光误报_告警图片-2026051212004806933922584-1.jpg,image,光误报,强光误报,False,True,,
烟筒误报_告警图片-2026051212004806933924469-1.jpg,工厂排气误报/烟筒误报_告警图片-2026051212004806933924469-1.jpg,image,烟筒误报,工厂排气误报,False,True,,
烟筒误报_告警视频-2026051212004806933924469-1.mp4,工厂排气误报/烟筒误报_告警视频-2026051212004806933924469-1.mp4,video,烟筒误报,工厂排气误报,False,True,,
烟筒误报_告警视频-2026051212004806933924419-1.mp4,工厂排气误报/烟筒误报_告警视频-2026051212004806933924419-1.mp4,video,烟筒误报,工厂排气误报,False,True,,
烟筒误报_告警图片-2026051212004806933924464-1.jpg,工厂排气误报/烟筒误报_告警图片-2026051212004806933924464-1.jpg,image,烟筒误报,工厂排气误报,False,True,,
烟筒误报_告警图片-2026051212004806933924419-1.jpg,工厂排气误报/烟筒误报_告警图片-2026051212004806933924419-1.jpg,image,烟筒误报,工厂排气误报,False,True,,
烟筒误报_告警视频-2026051212004806933924464-1.mp4,工厂排气误报/烟筒误报_告警视频-2026051212004806933924464-1.mp4,video,烟筒误报,工厂排气误报,False,True,,
祭祀用火_告警图片-2026051212004806933924191-1.jpg,祭祀用火误报/祭祀用火_告警图片-2026051212004806933924191-1.jpg,image,祭祀用火,祭祀用火误报,False,True,,
祭祀用火_告警视频-2026051212004806933924191-1.mp4,祭祀用火误报/祭祀用火_告警视频-2026051212004806933924191-1.mp4,video,祭祀用火,祭祀用火误报,False,True,,
农用火烟报警_告警图片-2026051212004806933918809-1.jpg,农业用火误报/农用火烟报警_告警图片-2026051212004806933918809-1.jpg,image,农用火烟报警,农业用火误报,False,True,,
农用火烟报警_告警图片-2026051212004806933920931-1.jpg,农业用火误报/农用火烟报警_告警图片-2026051212004806933920931-1.jpg,image,农用火烟报警,农业用火误报,False,True,,
农用火烟报警_告警视频-2026051212004806933918809-1.mp4,农业用火误报/农用火烟报警_告警视频-2026051212004806933918809-1.mp4,video,农用火烟报警,农业用火误报,False,True,,
农用火烟报警_告警视频-2026051212004806933920931-1.mp4,农业用火误报/农用火烟报警_告警视频-2026051212004806933920931-1.mp4,video,农用火烟报警,农业用火误报,False,True,,
农用火烟报警_告警视频-2026051312004806933931906-1.mp4,农业用火误报/农用火烟报警_告警视频-2026051312004806933931906-1.mp4,video,农用火烟报警,农业用火误报,False,True,,
农用火烟报警_告警视频-2026051212004806933921122-1.mp4,农业用火误报/农用火烟报警_告警视频-2026051212004806933921122-1.mp4,video,农用火烟报警,农业用火误报,False,True,,
